Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40c225, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 406740, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c8ae, ro: 2, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bee3, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 406740, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bebd, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40a020, ro: 1, rt: CODE
Deserializing functions...
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bee3, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c02b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c02f, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c025, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bfef, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf1c, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 406b10, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 406a20, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bfe4, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bfd6, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bfdb, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bfcb, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bfc6, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 406740, ro: 0, rt: CODE
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bf35, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c02b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf46, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf3f, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bfa1, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf70, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf57, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf65, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf49, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf7a, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40cd9d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cd9d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ba75, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f378, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f3a0, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40cc99, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cac6, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cabd, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cab4, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca76, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c9ff, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40caab, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40caa5, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40caa0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca93, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca88, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca7b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca70, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca61, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca52, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca44, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca37, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca2a, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca1d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ca0a, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c6fa, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40cc10, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c9f9, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c98c, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cc67, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c7e3, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c9f4, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c74d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c928, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cb3c, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c9ec, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c6a0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c84e, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40cb8e, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40cc3c, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cbe5, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c7af, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c95b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40cb6b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c9e7, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c8da, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c8af, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cb0e, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c82e, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c785, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c9b4, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c883, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c8fc, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40cbc8, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40caeb, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a130, ro: 0, rt: CODE
